step,queue_ns,queue_ew,wait_ns,wait_ew,total_queue,total_wait,arrived,active_dir,green_dur_last
0,2,2,0.0,0.0,4,0.0,0,NS,0
1,0,0,0.0,0.0,0,0.0,0,NS,0
2,0,0,0.0,0.0,0,0.0,0,NS,0
3,0,0,0.0,0.0,0,0.0,0,NS,0
4,0,0,0.0,0.0,0,0.0,0,NS,0
5,0,0,0.0,0.0,0,0.0,0,NS,0
6,0,2,0.0,0.0,2,0.0,0,NS,0
7,0,0,0.0,0.0,0,0.0,0,NS,0
8,2,0,0.0,0.0,2,0.0,0,NS,0
9,0,0,0.0,0.0,0,0.0,0,NS,0
10,0,0,0.0,0.0,0,0.0,0,NS,0
11,0,0,0.0,0.0,0,0.0,0,NS,0
12,0,2,0.0,0.0,2,0.0,0,NS,0
13,0,0,0.0,0.0,0,0.0,0,NS,0
14,0,0,0.0,0.0,0,0.0,0,NS,0
15,2,0,0.0,0.0,2,0.0,0,NS,0
16,0,1,0.0,0.16666666666666666,1,0.16666666666666666,0,NS,0
17,0,2,0.0,0.5,2,0.5,0,NS,0
18,0,4,0.0,0.625,4,0.625,0,NS,0
19,0,2,0.0,0.875,2,0.875,0,NS,0
20,0,2,0.0,1.125,2,1.125,0,NS,0
21,0,4,0.0,1.625,4,1.625,0,NS,0
22,2,4,0.0,2.125,6,2.125,2,NS,0
23,0,4,0.0,2.625,4,2.625,2,NS,0
24,0,6,0.0,2.5,6,2.5,2,NS,0
25,0,4,0.0,2.9,4,2.9,2,NS,0
26,0,5,0.0,3.4,5,3.4,2,NS,0
27,0,6,0.0,4.0,6,4.0,2,NS,0
28,0,6,0.0,4.6,6,4.6,2,NS,0
29,1,6,0.0,5.2,7,5.2,2,NS,0
30,1,8,0.0,4.833333333333333,9,4.833333333333333,3,NS,0
31,0,6,0.0,5.333333333333333,6,5.333333333333333,4,NS,0
32,0,7,0.0,5.916666666666667,7,5.916666666666667,4,NS,0
33,0,8,0.0,6.583333333333333,8,6.583333333333333,4,NS,0
34,0,8,0.0,7.25,8,7.25,4,NS,0
35,0,8,0.0,7.916666666666667,8,7.916666666666667,4,NS,0
36,1,10,0.0,7.357142857142857,11,7.357142857142857,5,NS,0
37,1,10,0.0,8.071428571428571,11,8.071428571428571,6,NS,0
38,0,10,0.0,8.785714285714286,10,8.785714285714286,6,NS,0
39,0,10,0.0,9.5,10,9.5,6,NS,0
40,0,10,0.0,10.214285714285714,10,10.214285714285714,6,NS,0
41,0,10,0.0,10.928571428571429,10,10.928571428571429,6,NS,0
42,0,13,0.0,10.25,13,10.25,6,NS,0
43,0,12,0.0,11.0,12,11.0,6,NS,0
44,1,12,0.0,11.75,13,11.75,7,NS,0
45,2,10,0.16666666666666666,8.8125,12,8.979166666666666,8,NS,0
46,2,8,0.5,7.071428571428571,10,7.571428571428571,8,NS,0
47,2,6,0.8333333333333334,4.571428571428571,8,5.404761904761904,8,NS,0
48,2,8,1.1666666666666667,2.4375,10,3.604166666666667,8,NS,0
49,2,4,1.5,1.1875,6,2.6875,8,NS,0
50,2,2,1.8333333333333333,0.4,4,2.2333333333333334,8,NS,0
51,4,0,1.625,0.0,4,1.625,8,NS,0
52,2,1,1.875,0.07142857142857142,3,1.9464285714285714,8,NS,0
53,4,0,2.375,0.0,4,2.375,8,NS,0
54,4,2,2.875,0.0,6,2.875,8,NS,0
55,4,0,3.375,0.0,4,3.375,8,NS,0
56,4,0,3.875,0.0,4,3.875,8,NS,0
57,4,0,4.375,0.0,4,4.375,8,NS,0
58,6,0,3.9,0.0,6,3.9,8,NS,0
59,4,0,4.3,0.0,4,4.3,8,NS,0
60,6,1,4.9,0.0,7,4.9,10,NS,0
61,6,1,5.5,0.0,7,5.5,11,NS,0
62,6,0,6.1,0.0,6,6.1,11,NS,0
63,6,0,6.7,0.0,6,6.7,12,NS,0
64,6,0,7.3,0.0,6,7.3,13,NS,0
65,8,0,6.583333333333333,0.0,8,6.583333333333333,14,NS,0
66,8,0,7.25,0.0,8,7.25,14,NS,0
67,8,0,7.916666666666667,0.0,8,7.916666666666667,16,NS,0
68,8,0,8.583333333333334,0.0,8,8.583333333333334,16,NS,0
69,8,1,9.25,0.0,9,9.25,18,NS,0
70,8,1,9.916666666666666,0.0,9,9.916666666666666,19,NS,0
71,9,0,10.666666666666666,0.0,9,10.666666666666666,20,NS,0
72,11,0,9.785714285714286,0.0,11,9.785714285714286,20,NS,0
73,10,1,10.5,0.0,11,10.5,22,NS,0
74,10,0,11.214285714285714,0.0,10,11.214285714285714,22,NS,0
75,10,0,11.928571428571429,0.0,10,11.928571428571429,24,NS,0
76,10,0,12.642857142857142,0.0,10,12.642857142857142,25,NS,0
77,11,0,13.428571428571429,0.0,11,13.428571428571429,26,NS,0
78,11,2,14.214285714285714,0.0,13,14.214285714285714,28,NS,0
79,12,0,15.071428571428571,0.0,12,15.071428571428571,28,NS,0
80,14,0,13.9375,0.0,14,13.9375,28,NS,0
