mode,avg_total_wait,avg_total_queue,throughput
fixed,5.054801747114828,7.473611111111111,2044.0
fuzzy,8.637552015515444,10.886944444444444,2025.0
anfis,4.424818030288426,6.605555555555555,1979.0
